category,category,category,source,name,ticker,Q_DATABASE_CODE,Q_DATASET_CODE,Q_COLUMN_NUM,Q_COLUMN_NAME,Q_COLLAPSE_INSTR,Q_TRANSFORM_INSTR,Q_REFRESHED_AT,Q_EARLIEST_DATE,Q_LATEST_DATE,natural_periodicity,natural_value_type,Q_DESCRIPTION,UNITS,SEASONALLY ADJUSTED
interest rate,spread,,Federal Reserve Bank Cleveland (Financial Stress Index),Asset-Backed Security Spread,ABS_Spread,FRBC,CFSI_COMP,1,,monthly,,,,,,,,,
interest rate,spread,,Federal Reserve Bank Cleveland (Financial Stress Index),Bank Bond Spread,Bank_Bond_Spread,FRBC,CFSI_COMP,2,,monthly,,,,,,,,,
interest rate,spread,,Federal Reserve Bank Cleveland (Financial Stress Index),Commercial Mbs Spread,CMBS_Spread,FRBC,CFSI_COMP,3,,monthly,,,,,,,,,
interest rate,spread,,Federal Reserve Bank Cleveland (Financial Stress Index),Commercial Paper - T-Bill Spread,CommPaper_Tbill_Spread,FRBC,CFSI_COMP,4,,monthly,,,,,,,,,
interest rate,spread,,Federal Reserve Bank Cleveland (Financial Stress Index),Commercial Real Estate Spread,CommRE_Spread,FRBC,CFSI_COMP,5,,monthly,,,,,,,,,
interest rate,spread,,Federal Reserve Bank Cleveland (Financial Stress Index),Corporate Bond Spread,Corp_Bond_Spread,FRBC,CFSI_COMP,6,,monthly,,,,,,,,,
interest rate,spread,,Federal Reserve Bank Cleveland (Financial Stress Index),Covered Interest Spread,Cvrd_Int_Spread,FRBC,CFSI_COMP,7,,monthly,,,,,,,,,
,,,Federal Reserve Bank Cleveland (Financial Stress Index),Credit Markets,ClvlndFed_Crdt_Mkts,FRBC,CFSI_COMP,8,,monthly,,,,,,,,,
,,,Federal Reserve Bank Cleveland (Financial Stress Index),Equity Markets,ClvlndFed_Eqty_Mkts,FRBC,CFSI_COMP,9,,monthly,,,,,,,,,
,,,Federal Reserve Bank Cleveland (Financial Stress Index),Financial Beta,Fin_Beta,FRBC,CFSI_COMP,10,,monthly,,,,,,,,,
,,,Federal Reserve Bank Cleveland (Financial Stress Index),Foreign Exchange Markets,ForEx_Mkts,FRBC,CFSI_COMP,11,,monthly,,,,,,,,,
interest rate,rate,interbank,Federal Reserve Bank Cleveland (Financial Stress Index),Interbank Cost Of Borrowing,Interbank_Borrow_Cost,FRBC,CFSI_COMP,12,,monthly,,,,,,,,,
,,,Federal Reserve Bank Cleveland (Financial Stress Index),Interbank Liquidity Spread,Interbank_Liquidity_Spread,FRBC,CFSI_COMP,13,,monthly,,,,,,,,,
,,,Federal Reserve Bank Cleveland (Financial Stress Index),Interbank Markets,ClvlndFed_Interbank_Mkts,FRBC,CFSI_COMP,14,,monthly,,,,,,,,,
,,,Federal Reserve Bank Cleveland (Financial Stress Index),Liquidity Spread,Liquidity_Spread,FRBC,CFSI_COMP,15,,monthly,,,,,,,,,
,,,Federal Reserve Bank Cleveland (Financial Stress Index),Real Estate Market,ClvlndFed_RE_Mkts,FRBC,CFSI_COMP,16,,monthly,,,,,,,,,
interest rate,rate,,Federal Reserve Bank Cleveland (Financial Stress Index),Residential Mbs Spread,RMBS_Spread,FRBC,CFSI_COMP,17,,monthly,,,,,,,,,
interest rate,rate,,Federal Reserve Bank Cleveland (Financial Stress Index),Residential Real Estate Spread,Res_RE_Spread,FRBC,CFSI_COMP,18,,monthly,,,,,,,,,
